,City,Country,Cloudiness,Humidity,Max Temp.,Wind Speed,Latitude,Longitude
0,Luba,PH,0,56,82.67,2.68,17.32,120.7
1,Tocopilla,CL,73,82,58.01,5.17,-22.09,-70.2
2,Ketchikan,US,75,93,59.0,16.11,55.34,-131.65
3,Wexford,US,1,73,73.99,3.36,40.63,-80.06
4,Sorland,NO,42,61,45.59,13.56,67.67,12.69
5,Hobart,AU,40,30,57.99,20.8,-42.88,147.33
6,Cayhagan,PH,0,69,82.85,4.09,9.67,122.43
7,Jamestown,AU,10,49,56.75,14.83,-33.21,138.6
8,Nola,CF,100,90,67.91,1.34,3.52,16.05
9,Cape Town,ZA,75,87,57.99,3.36,-33.93,18.42
10,Dalmeny,CA,20,51,59.0,4.7,52.34,-106.77
11,Bluff,AU,38,41,81.05,12.41,-23.58,149.07
12,Elat,CM,97,99,68.45,2.04,2.91,11.16
13,Albany,US,1,93,64.4,1.54,42.65,-73.75
14,Rikitea,PF,99,88,74.21,2.71,-23.12,-134.97
15,Ribeira Grande,PT,100,87,72.95,22.15,38.52,-28.7
16,Mataura,NZ,0,51,64.99,5.01,-46.19,168.86
17,Alihe,CN,0,46,66.65,5.77,50.57,123.73
18,Ushuaia,AR,90,98,35.6,11.41,-54.81,-68.31
19,Pisco,PE,75,82,62.6,8.05,-13.71,-76.2
20,Nhulunbuy,AU,90,65,82.4,17.22,-12.18,136.78
21,Hasaki,JP,75,69,80.01,11.41,35.73,140.83
22,Yarmouth,CA,75,93,53.6,5.82,43.84,-66.12
23,Qaanaaq,GL,10,43,20.21,5.35,77.48,-69.36
24,Walla Walla,US,1,35,78.8,4.7,46.06,-118.33
25,Punta Arenas,CL,0,70,42.8,31.09,-53.16,-70.91
26,Fairview,CA,75,45,66.2,21.92,56.07,-118.38
27,Hermanus,ZA,3,99,55.99,1.99,-34.42,19.24
28,Taksimo,RU,81,87,42.53,13.65,56.36,114.84
29,Saint-Pierre,FR,0,72,66.2,12.75,48.95,4.24
30,Linares,CL,0,87,44.15,7.47,-35.85,-71.6
31,Sira,IN,57,72,75.47,3.47,13.74,76.91
32,Isangel,VU,75,83,73.4,9.17,-19.55,169.27
33,Ilulissat,GL,100,56,44.6,17.22,69.22,-51.1
34,Saskylakh,RU,60,80,42.71,11.45,71.97,114.09
35,Nantucket,US,1,93,66.2,4.7,41.28,-70.1
36,Ojinaga,US,40,65,80.6,8.05,29.56,-104.41
37,Humaita,AR,0,50,57.2,2.24,-24.93,-65.37
38,Sao Filipe,CV,44,85,81.23,16.37,14.9,-24.5
39,Kavieng,PG,19,66,84.29,6.22,-2.57,150.8
